Name,Email,Age,State,Major,GPA,Status,Skills,Expected_Salary
James Oconnor,james.oconnor@gmail.com,22,Connecticut,Psychology,3.71,Employed,"PowerBI, SQL",54725
Tracy Ortega,tracy.ortega@gmail.com,24,Arizona,Finance,3.22,Job Seeking,"Project Management, PowerBI",48803
Gary Murray,gary.murray@gmail.com,24,Hawaii,Engineering,2.84,Employed,"Python, Java",59027
Julie Hamilton,julie.hamilton@gmail.com,23,Kentucky,Finance,3.04,Job Seeking,"Excel, PowerBI",53754
Benjamin Mcmillan,benjamin.mcmillan@gmail.com,23,Rhode Island,Engineering,3.78,Job Seeking,"Java, Project Management",57016
Billy Roberts,billy.roberts@gmail.com,24,Kansas,Marketing,3.19,Job Seeking,"PowerBI, Excel",57682
Timothy Fleming,timothy.fleming@gmail.com,22,Kansas,Biology,3.88,Job Seeking,"SQL, PowerBI",58494
Walter Brown,walter.brown@gmail.com,23,Wyoming,Communications,2.95,Employed,"Java, Project Management",56769
Casey Campos,casey.campos@gmail.com,23,South Carolina,Computer Science,2.88,Job Seeking,"PowerBI, Excel",50285
James Bailey,james.bailey@gmail.com,23,Michigan,Computer Science,2.84,Job Seeking,"Project Management, PowerBI",56295
Monica Gates,monica.gates@gmail.com,22,Montana,Marketing,3.45,Job Seeking,"Excel, SQL",53055
Katrina Larson,katrina.larson@gmail.com,24,Michigan,Biology,3.37,Employed,"SQL, Project Management",55510
Joshua Thompson,joshua.thompson@gmail.com,23,Texas,Biology,2.91,Job Seeking,"PowerBI, Java",52644
Derrick Lozano,derrick.lozano@gmail.com,22,Iowa,Psychology,3.17,Job Seeking,"PowerBI, Excel",58204
Jill Alexander,jill.alexander@gmail.com,23,Indiana,Engineering,3.6,Job Seeking,"Excel, SQL",54315
Erik Klein,erik.klein@gmail.com,23,Rhode Island,Biology,3.88,Job Seeking,"SQL, Java",56095
Daniel Evans,daniel.evans@gmail.com,22,Utah,Finance,3.49,Job Seeking,"PowerBI, SQL",61897
Philip Mcknight,philip.mcknight@gmail.com,23,Nebraska,Computer Science,3.58,Employed,"Project Management, Excel",55754
William Williams,william.williams@gmail.com,24,New Mexico,Biology,3.18,Job Seeking,"Python, Java",50987
William White,william.white@gmail.com,24,Mississippi,Engineering,3.58,Job Seeking,"Excel, Project Management",50621
Robert Davidson,robert.davidson@gmail.com,22,West Virginia,Communications,3.3,Job Seeking,"SQL, Python",57975
Kent Lynch,kent.lynch@gmail.com,22,Louisiana,Marketing,3.34,Job Seeking,"Java, SQL",62992
Frederick Cannon,frederick.cannon@gmail.com,24,Wisconsin,Computer Science,3.43,Employed,"Excel, Python",45811
Shannon Smith,shannon.smith@gmail.com,24,Tennessee,Communications,3.43,Employed,"Python, Java",46145
Terri Morales,terri.morales@gmail.com,24,Virginia,Business,3.38,Employed,"Python, SQL",59324
Shelley Martinez,shelley.martinez@gmail.com,24,Louisiana,Business,3.12,Job Seeking,"Python, PowerBI",50951
Douglas Bowman,douglas.bowman@gmail.com,24,Ohio,Computer Science,3.58,Job Seeking,"Project Management, Java",62956
Jeff Berry,jeff.berry@gmail.com,23,North Carolina,Biology,3.62,Job Seeking,"Python, PowerBI",60660
Heather Martin,heather.martin@gmail.com,24,Connecticut,Biology,3.58,Job Seeking,"Java, PowerBI",63540
Karen Anderson,karen.anderson@gmail.com,22,Maryland,Business,3.11,Job Seeking,"Python, Excel",58619
Pamela Ayers,pamela.ayers@gmail.com,22,Louisiana,Psychology,3.14,Job Seeking,"Project Management, Java",46931
Nicole Young,nicole.young@gmail.com,24,Washington,Marketing,3.66,Job Seeking,"Java, Project Management",54444
Jose Davenport,jose.davenport@gmail.com,24,Alaska,Psychology,2.91,Employed,"PowerBI, Java",55847
Jennifer Schwartz,jennifer.schwartz@gmail.com,22,North Dakota,Marketing,3.24,Employed,"Java, Project Management",55327
Sean Stafford,sean.stafford@gmail.com,22,Alaska,Marketing,3.61,Job Seeking,"Python, Java",60237
Patrick Alvarado,patrick.alvarado@gmail.com,23,Nebraska,Business,2.81,Job Seeking,"Project Management, Java",53768
Jacqueline Dudley,jacqueline.dudley@gmail.com,24,Illinois,Engineering,3.69,Job Seeking,"Project Management, Excel",48095
Cheryl Ruiz,cheryl.ruiz@gmail.com,24,Georgia,Computer Science,3.2,Employed,"SQL, Java",61107
Stacy Stevens,stacy.stevens@gmail.com,24,Texas,Psychology,3.49,Job Seeking,"Excel, Project Management",59738
Daniel Miller,daniel.miller@gmail.com,22,Minnesota,Business,3.31,Job Seeking,"PowerBI, Excel",59079
Megan Anderson,megan.anderson@gmail.com,23,South Dakota,Communications,3.57,Job Seeking,"Project Management, SQL",61241
Corey Williams,corey.williams@gmail.com,22,Washington,Biology,3.21,Job Seeking,"Python, Java",51894
Ronald Harris,ronald.harris@gmail.com,22,Washington,Computer Science,3.16,Job Seeking,"Java, PowerBI",61179
Laura Maddox,laura.maddox@gmail.com,24,Louisiana,Computer Science,3.09,Job Seeking,"SQL, Python",47613
Joshua Gross,joshua.gross@gmail.com,22,Indiana,Marketing,3.53,Job Seeking,"Python, Java",60944
Tyler Rogers,tyler.rogers@gmail.com,23,Minnesota,Business,3.53,Job Seeking,"Project Management, PowerBI",51462
Karen Moore,karen.moore@gmail.com,24,New York,Business,3.5,Job Seeking,"Excel, Java",48496
Roy White,roy.white@gmail.com,24,Missouri,Communications,3.69,Employed,"Java, Excel",45066
George Carey,george.carey@gmail.com,24,Idaho,Business,3.44,Job Seeking,"Java, Python",59325
Mary Pope,mary.pope@gmail.com,22,South Dakota,Biology,3.63,Job Seeking,"Java, Python",53793
Mary Howell,mary.howell@gmail.com,23,Delaware,Marketing,3.69,Job Seeking,"SQL, Project Management",63727
Christian Griffin,christian.griffin@gmail.com,23,Nevada,Communications,3.24,Job Seeking,"Java, Python",53128
Mark Martinez,mark.martinez@gmail.com,24,Kansas,Marketing,3.83,Job Seeking,"Project Management, Python",45320
Michael Miller,michael.miller@gmail.com,22,New Hampshire,Engineering,3.4,Employed,"Python, Excel",48404
William Richardson,william.richardson@gmail.com,24,Kentucky,Finance,3.37,Employed,"Java, SQL",61324
Karen Roth,karen.roth@gmail.com,22,Oregon,Finance,3.24,Job Seeking,"Python, Excel",54776
Alexandra Austin,alexandra.austin@gmail.com,23,New Jersey,Engineering,2.88,Job Seeking,"Excel, Project Management",55786
Laura Jackson,laura.jackson@gmail.com,22,Arizona,Psychology,3.72,Employed,"Project Management, SQL",50587
Mary Padilla,mary.padilla@gmail.com,23,North Dakota,Finance,3.3,Job Seeking,"PowerBI, Project Management",50442
Justin Griffith,justin.griffith@gmail.com,22,New Jersey,Communications,2.87,Employed,"Excel, PowerBI",60905
Michael Alvarado,michael.alvarado@gmail.com,23,Washington,Engineering,3.44,Job Seeking,"Java, Project Management",53558
Cory Garrett,cory.garrett@gmail.com,24,Georgia,Computer Science,3.53,Employed,"Java, Project Management",62286
Karen Miller,karen.miller@gmail.com,24,Maine,Business,2.94,Job Seeking,"Project Management, SQL",59543
Adam Wilson,adam.wilson@gmail.com,24,Oklahoma,Communications,3.77,Job Seeking,"SQL, Java",54950
Ronald Lamb,ronald.lamb@gmail.com,23,Rhode Island,Engineering,3.62,Employed,"Project Management, Java",47939
Briana Jackson,briana.jackson@gmail.com,22,Tennessee,Business,3.22,Employed,"Python, Excel",63199
Christopher Hardin,christopher.hardin@gmail.com,23,Delaware,Engineering,3.69,Job Seeking,"SQL, Project Management",46674
William Patrick,william.patrick@gmail.com,22,Alabama,Business,3.78,Employed,"Project Management, Java",52223
James Smith,james.smith@gmail.com,24,Kentucky,Finance,3.38,Job Seeking,"Java, SQL",52793
Nicholas Miller,nicholas.miller@gmail.com,24,North Carolina,Finance,3.3,Job Seeking,"Java, PowerBI",48557
Michael Mills,michael.mills@gmail.com,22,Minnesota,Engineering,3.68,Job Seeking,"Excel, Project Management",45641
Matthew Thomas,matthew.thomas@gmail.com,23,Utah,Psychology,3.49,Job Seeking,"Python, SQL",51041
Linda Kaufman,linda.kaufman@gmail.com,24,Missouri,Communications,3.32,Job Seeking,"SQL, Excel",48578
James Wright,james.wright@gmail.com,22,Arkansas,Business,3.65,Job Seeking,"SQL, Excel",53056
Christine Washington,christine.washington@gmail.com,23,New Hampshire,Engineering,2.84,Job Seeking,"Python, Excel",60539
Brenda Carter,brenda.carter@gmail.com,23,Kentucky,Computer Science,3.12,Job Seeking,"Excel, Java",48494
Stephanie Brown,stephanie.brown@gmail.com,22,Virginia,Computer Science,3.33,Employed,"Java, PowerBI",60540
Jessica Torres,jessica.torres@gmail.com,24,Wyoming,Psychology,3.32,Job Seeking,"Java, Excel",51532
Ryan Park,ryan.park@gmail.com,23,Colorado,Engineering,2.9,Job Seeking,"PowerBI, Project Management",55509
Robert Morrow,robert.morrow@gmail.com,24,Missouri,Psychology,3.37,Job Seeking,"PowerBI, Project Management",47975
Victoria Bass,victoria.bass@gmail.com,24,Tennessee,Finance,3.16,Job Seeking,"Java, Excel",51699
Brianna Garcia,brianna.garcia@gmail.com,24,Arkansas,Psychology,3.79,Job Seeking,"Python, PowerBI",54061
Joseph Wilson,joseph.wilson@gmail.com,24,South Dakota,Psychology,3.82,Job Seeking,"Project Management, Java",53835
Jeffery Greer,jeffery.greer@gmail.com,23,Mississippi,Psychology,2.86,Employed,"Excel, Python",59995
Mark Gomez,mark.gomez@gmail.com,22,Louisiana,Finance,3.33,Job Seeking,"SQL, Project Management",46483
Roger Thomas,roger.thomas@gmail.com,23,Ohio,Finance,2.95,Job Seeking,"Project Management, SQL",63367
Pamela Cruz,pamela.cruz@gmail.com,23,Maryland,Computer Science,3.49,Job Seeking,"PowerBI, Java",59953
Amy Simmons,amy.simmons@gmail.com,22,Connecticut,Engineering,3.28,Job Seeking,"Excel, PowerBI",63469
Savannah Allen,savannah.allen@gmail.com,22,Oregon,Engineering,3.65,Job Seeking,"SQL, Project Management",63513
Joshua Thornton,joshua.thornton@gmail.com,22,Louisiana,Engineering,3.42,Job Seeking,"Project Management, SQL",48766
Kimberly Brown,kimberly.brown@gmail.com,23,Texas,Finance,3.02,Job Seeking,"Python, Excel",53416
Tina Ortiz,tina.ortiz@gmail.com,24,Minnesota,Business,2.92,Job Seeking,"Java, SQL",47962
Paul Stevens,paul.stevens@gmail.com,24,Massachusetts,Business,3.09,Employed,"Java, SQL",48061
Jill Cline,jill.cline@gmail.com,23,Alaska,Business,3.73,Job Seeking,"Python, SQL",52407
Regina Miller,regina.miller@gmail.com,23,Oklahoma,Biology,3.55,Job Seeking,"Java, Project Management",64699
Jeffrey Hill,jeffrey.hill@gmail.com,24,Oregon,Computer Science,2.87,Employed,"Java, Excel",54889
Amanda Dawson,amanda.dawson@gmail.com,24,Montana,Communications,3.62,Job Seeking,"Excel, PowerBI",61117
Rhonda Graham,rhonda.graham@gmail.com,24,Utah,Marketing,3.08,Employed,"Python, Excel",48553
Nicole Graves,nicole.graves@gmail.com,23,Iowa,Business,3.78,Job Seeking,"Python, Project Management",57146
Carolyn Diaz,carolyn.diaz@gmail.com,24,Georgia,Psychology,3.33,Employed,"Excel, Java",50953
Christian Alvarez,christian.alvarez@gmail.com,23,Missouri,Biology,3.77,Job Seeking,"Python, Project Management",53834
George Rosario,george.rosario@gmail.com,23,North Carolina,Computer Science,3.04,Employed,"Python, PowerBI",56925
Stephanie Hunt,stephanie.hunt@gmail.com,22,Indiana,Business,3.07,Employed,"Project Management, Java",53737
Ellen Herrera,ellen.herrera@gmail.com,24,Massachusetts,Business,3.61,Job Seeking,"PowerBI, SQL",57806
Drew Harrell,drew.harrell@gmail.com,23,Wisconsin,Computer Science,3.05,Job Seeking,"SQL, Project Management",53161
Earl Vazquez,earl.vazquez@gmail.com,23,Arkansas,Communications,3.83,Job Seeking,"PowerBI, Project Management",57013
Kelly Phillips,kelly.phillips@gmail.com,23,Alaska,Marketing,3.55,Employed,"Project Management, PowerBI",63754
Amanda Freeman,amanda.freeman@gmail.com,24,South Dakota,Psychology,3.73,Job Seeking,"SQL, Project Management",46488
Heather Hernandez,heather.hernandez@gmail.com,24,Arkansas,Engineering,3.13,Job Seeking,"Project Management, Python",46483
Derrick Gould,derrick.gould@gmail.com,22,West Virginia,Communications,3.25,Job Seeking,"Java, Python",50046
Eric Farrell,eric.farrell@gmail.com,24,Pennsylvania,Computer Science,2.98,Employed,"PowerBI, Java",59412
John Hebert,john.hebert@gmail.com,22,Rhode Island,Communications,2.97,Job Seeking,"Project Management, Java",54057
Nicholas Harris,nicholas.harris@gmail.com,23,Oregon,Biology,3.18,Job Seeking,"Excel, SQL",64574
Nancy Carr,nancy.carr@gmail.com,23,South Dakota,Computer Science,3.79,Job Seeking,"PowerBI, Excel",53725
Elizabeth Trevino,elizabeth.trevino@gmail.com,22,New Mexico,Computer Science,3.25,Job Seeking,"SQL, Python",50447
Nancy Berry,nancy.berry@gmail.com,23,North Dakota,Computer Science,2.92,Job Seeking,"SQL, Excel",62935
Robert Rowe,robert.rowe@gmail.com,24,Utah,Computer Science,3.62,Employed,"Python, Project Management",52277
Christopher Andrade,christopher.andrade@gmail.com,24,California,Psychology,2.86,Job Seeking,"Python, PowerBI",55311
Benjamin Andrade,benjamin.andrade@gmail.com,23,Iowa,Business,2.98,Job Seeking,"Project Management, Excel",53951
Mary Clark,mary.clark@gmail.com,22,Pennsylvania,Marketing,3.53,Employed,"PowerBI, SQL",56122
Ann Santana,ann.santana@gmail.com,23,Oklahoma,Finance,3.65,Job Seeking,"Python, PowerBI",57772
Craig Blackwell,craig.blackwell@gmail.com,23,Minnesota,Computer Science,2.9,Job Seeking,"Excel, Java",48262
Tracey Miller,tracey.miller@gmail.com,24,Maine,Engineering,3.75,Employed,"Project Management, Java",61339
Sierra Smith,sierra.smith@gmail.com,24,New Jersey,Psychology,3.82,Job Seeking,"PowerBI, Project Management",47064
Kathleen Burke,kathleen.burke@gmail.com,22,West Virginia,Biology,3.49,Job Seeking,"PowerBI, Project Management",45267
Susan Barrera,susan.barrera@gmail.com,24,Virginia,Psychology,3.0,Employed,"Excel, PowerBI",59403
Dominique Smith,dominique.smith@gmail.com,22,Montana,Psychology,3.17,Job Seeking,"PowerBI, Project Management",61425
Aaron Marsh,aaron.marsh@gmail.com,24,Maryland,Finance,2.83,Employed,"Excel, Python",54131
Ricardo Davis,ricardo.davis@gmail.com,23,North Carolina,Biology,3.58,Job Seeking,"Excel, PowerBI",46125
Nicholas Stephens,nicholas.stephens@gmail.com,23,North Dakota,Engineering,3.13,Job Seeking,"SQL, Java",62359
Gregory Moran,gregory.moran@gmail.com,24,New Hampshire,Computer Science,3.76,Job Seeking,"Excel, Project Management",62254
Lisa Jackson,lisa.jackson@gmail.com,23,Massachusetts,Finance,3.9,Job Seeking,"SQL, Python",61346
Gary Mclaughlin,gary.mclaughlin@gmail.com,22,Minnesota,Marketing,3.81,Employed,"Java, Python",53655
Lauren Russell,lauren.russell@gmail.com,24,Virginia,Psychology,3.52,Job Seeking,"Python, Excel",53039
Suzanne Elliott,suzanne.elliott@gmail.com,23,Kansas,Marketing,3.61,Job Seeking,"Python, Java",59969
Melanie Camacho,melanie.camacho@gmail.com,23,Pennsylvania,Business,3.55,Employed,"PowerBI, Excel",64840
Amanda Cole,amanda.cole@gmail.com,23,Pennsylvania,Marketing,3.13,Job Seeking,"Python, Java",51387
Heather Knight,heather.knight@gmail.com,23,Montana,Biology,3.02,Employed,"PowerBI, Excel",48215
William Harris,william.harris@gmail.com,24,Alabama,Psychology,3.23,Job Seeking,"Project Management, SQL",61467
Lindsay Mack,lindsay.mack@gmail.com,24,New Hampshire,Business,2.94,Job Seeking,"SQL, Project Management",56957
Christopher Keller,christopher.keller@gmail.com,22,Pennsylvania,Business,3.41,Employed,"Python, Project Management",60144
Christina Martinez,christina.martinez@gmail.com,24,Michigan,Biology,3.63,Employed,"Python, PowerBI",61900
Amy Willis,amy.willis@gmail.com,23,California,Business,3.74,Job Seeking,"Excel, Java",59254
Zoe Lewis,zoe.lewis@gmail.com,24,Massachusetts,Communications,3.5,Job Seeking,"Excel, Python",59180
Paul Best,paul.best@gmail.com,24,West Virginia,Finance,3.73,Job Seeking,"PowerBI, Python",62183
Alexander Hernandez,alexander.hernandez@gmail.com,23,Alaska,Business,3.56,Job Seeking,"Excel, Java",56246
Tara Bailey,tara.bailey@gmail.com,24,North Dakota,Communications,3.42,Employed,"Python, SQL",53794
Kristina Oneill,kristina.oneill@gmail.com,22,Delaware,Biology,3.17,Job Seeking,"Project Management, Python",56532
Kim Miller,kim.miller@gmail.com,22,Missouri,Engineering,2.92,Job Seeking,"Java, Project Management",57050
Briana Randolph,briana.randolph@gmail.com,22,Missouri,Finance,3.79,Employed,"PowerBI, Excel",55462
Jesus Sanchez,jesus.sanchez@gmail.com,22,Maryland,Psychology,3.9,Employed,"Project Management, Python",56156
Douglas Nelson,douglas.nelson@gmail.com,24,Ohio,Engineering,3.22,Job Seeking,"Excel, Python",50282
Chris Evans,chris.evans@gmail.com,23,Alabama,Finance,3.61,Employed,"Python, Project Management",56613
David Middleton,david.middleton@gmail.com,23,Florida,Business,3.37,Employed,"PowerBI, Java",51122
Michael White,michael.white@gmail.com,24,Alabama,Business,3.45,Job Seeking,"Excel, Java",51859
Mary Perez,mary.perez@gmail.com,22,Vermont,Biology,3.26,Job Seeking,"SQL, Java",53294
Micheal Hernandez,micheal.hernandez@gmail.com,23,Indiana,Computer Science,3.23,Job Seeking,"Project Management, SQL",52435
Tina Garcia,tina.garcia@gmail.com,23,West Virginia,Finance,3.13,Employed,"SQL, Excel",53964
Ray Ayala,ray.ayala@gmail.com,24,Missouri,Business,3.11,Job Seeking,"PowerBI, SQL",47770
Jennifer Cox,jennifer.cox@gmail.com,24,New Jersey,Communications,3.22,Job Seeking,"PowerBI, Java",57453
Frank Edwards,frank.edwards@gmail.com,23,Michigan,Business,3.03,Employed,"Excel, SQL",45501
Tasha Duffy,tasha.duffy@gmail.com,22,Nevada,Marketing,3.56,Job Seeking,"PowerBI, Python",54863
Tami Peters,tami.peters@gmail.com,23,New Mexico,Communications,2.86,Employed,"Project Management, Python",50061
Danny Burch,danny.burch@gmail.com,23,New Jersey,Biology,3.01,Job Seeking,"SQL, Python",48074
Stacy Perry,stacy.perry@gmail.com,24,Wisconsin,Engineering,2.94,Job Seeking,"Project Management, Python",63840
Robert Cummings,robert.cummings@gmail.com,23,North Carolina,Business,3.15,Job Seeking,"Excel, SQL",64938
Eric Taylor,eric.taylor@gmail.com,23,New Hampshire,Computer Science,3.58,Job Seeking,"Excel, Java",48534
Katherine Pope,katherine.pope@gmail.com,24,Virginia,Engineering,3.49,Job Seeking,"Python, Project Management",47731
Amanda Smith,amanda.smith@gmail.com,22,Wisconsin,Biology,3.19,Job Seeking,"Excel, Python",61935
Sharon Taylor,sharon.taylor@gmail.com,24,New Jersey,Engineering,3.38,Employed,"PowerBI, Excel",55006
Jennifer Ramos,jennifer.ramos@gmail.com,23,Colorado,Finance,3.51,Job Seeking,"Java, Excel",55235
Anna Love,anna.love@gmail.com,22,Utah,Communications,3.39,Job Seeking,"Project Management, Excel",50437
William Rivera,william.rivera@gmail.com,22,South Carolina,Computer Science,3.34,Employed,"Project Management, SQL",59156
Jorge Barry,jorge.barry@gmail.com,24,Virginia,Business,3.04,Job Seeking,"Java, SQL",62763
Peter Johnston,peter.johnston@gmail.com,24,Pennsylvania,Business,3.03,Job Seeking,"Python, Java",45202
Jonathan Andrews,jonathan.andrews@gmail.com,23,Colorado,Biology,3.67,Job Seeking,"PowerBI, Java",62056
Thomas Brown,thomas.brown@gmail.com,23,Arkansas,Marketing,3.6,Job Seeking,"Java, Python",51354
Adrienne Baker,adrienne.baker@gmail.com,24,North Carolina,Engineering,3.76,Job Seeking,"Python, SQL",61723
Kayla Alvarado,kayla.alvarado@gmail.com,24,Nebraska,Communications,3.89,Job Seeking,"PowerBI, Java",48844
Marie Richard,marie.richard@gmail.com,24,Pennsylvania,Computer Science,3.73,Job Seeking,"Python, PowerBI",54779
Regina Wilson,regina.wilson@gmail.com,22,Maine,Communications,3.61,Job Seeking,"Python, SQL",45995
Jerome Brown,jerome.brown@gmail.com,23,Iowa,Business,3.45,Job Seeking,"Project Management, Java",46903
Dorothy Holt,dorothy.holt@gmail.com,23,Rhode Island,Psychology,2.96,Job Seeking,"PowerBI, Project Management",45011
Adam King,adam.king@gmail.com,23,Texas,Computer Science,3.65,Employed,"SQL, Project Management",60025
